,,,,,,,,,,,,,,GASTO DIARIO,
,,,,,,,,,,,,,,lun 01/feb 21,
,,,,,,,,,,,,,,mar 02/feb 21,
,,,,,,,,,,,,,,mié 03/feb 21,
,,,,,,,,,,,,,,jue 04/feb 21,
GASTOS,,,,PAGOS,,,,INGRESOS,,,vie 05/feb 21,,,,
FECHA,MONTO,CONCEPTO,,,FECHA,MONTO,CONCEPTO,,,FECHA,MONTO,CONCEPTO,,sáb 06/feb 21,
,,,,,lun 1 de feb de 21,"3.195,32",préstamo,,,,"7.594,24",Resto,,dom 07/feb 21,
,,,,,,"10.000,00",abuela,,,vie 29 de ene de 21,"58.884,85",sueldo,,lun 08/feb 21,
,,,,,,"2.000,00",telefono,,,,,,,mar 09/feb 21,
,,,,,lun 1 de feb de 21,"2.528,54",osde,,,TOTAL,"66.479,09",,,mié 10/feb 21,
,,,,,,,,,, ,,,,jue 11/feb 21,
,,,,,,"2.000,00",gym,,,DIARIO,Días restantes,Días totales,,vie 12/feb 21,
,,,,,,"5.000,00",gastos Varios,,,300,27,28,,sáb 13/feb 21,
,,,,,lun 1 de feb de 21,"10.816,75",auto,,,,,1,,dom 14/feb 21,"10.000,00"
,,,,,,,,,,TOTAL,8400,GASTADO,,lun 15/feb 21,"3.500,00"
,,,,,,,,,,RESTO,-1302,43550,,mar 16/feb 21,"3.750,00"
,,,,,,,,,,SALDO,-35150,43550,,mié 17/feb 21,"1.500,00"
,,,,,,,,,,,,,,jue 18/feb 21,"4.900,00"
,,,,,,,,,,SALDO,,,,vie 19/feb 21,"2.000,00"
,,,,,,,,,,,,,,sáb 20/feb 21,"14.000,00"
,,,,,,,,,,TOTAL,"-12.611,52",,,dom 21/feb 21,"3.900,00"
,,,,,,,,,,,"-20205,76",,,lun 22/feb 21,
,,,,,,,,,,,,,,mar 23/feb 21,
,,,,,,,,,,,,,,mié 24/feb 21,
,,,,,,,,,,,,,,jue 25/feb 21,
,,,,,,,,,,,,,,vie 26/feb 21,
TOTAL,"0,00",,,,TOTAL,"35.540,61",,,,,,,,sáb 27/feb 21,
,,,,,,,,,,,,,,dom 28/feb 21,
,,,,,,,,,,,,,,lun 01/mar 21,
,,,,,,,,,,,,,,mar 02/mar 21,
,,,,,,,,,,,,,,mié 03/mar 21,
