,,,,,,,,,,,,,,GASTO DIARIO,,
,,,,,,,,,,,,,,dom 01/may 22,"0,00",
,,,,,,,,,,,,,,lun 02/may 22,"0,00",
,,,,,,,,,,,,,,mar 03/may 22,"0,00",
,,,,,,,,,,,,,,mié 04/may 22,"100,00",pan
GASTOS,,,,PAGOS,,,,INGRESOS,,,jue 05/may 22,"0,00",,,,
FECHA,MONTO,CONCEPTO,,,FECHA,MONTO,CONCEPTO,,,FECHA,MONTO,CONCEPTO,,vie 06/may 22,"0,00",
vie 29 de abr de 22,,regalo viru,T,,lun 9 de may de 22,"31.800,00",alquler,,,,"18.099,66",Resto,,sáb 07/may 22,"0,00",
sáb 30 de abr de 22,,asado,T,,dom 1 de may de 22,"3.093,13",préstamo,,,dom 1 de may de 22,"134.437,43",sueldo,,dom 08/may 22,"0,00",
dom 15 de may de 22,"3.600,00",madre pago,,,dom 1 de may de 22,"10.735,82",prestamo meja,,,,"2.678,00",,,lun 09/may 22,"800,00",futbol pelu
vie 6 de may de 22,"1.000,00",torneo aero,,,dom 15 de may de 22,"5.612,75",bici,,,TOTAL,"155.215,09",,,mar 10/may 22,"0,00",
lun 9 de may de 22,"770,00",ferreteria,,,,,calefactor,T,, ,,,,mié 11/may 22,"0,00",
jue 12 de may de 22,"41.487,07",cubiertas pap,,,dom 15 de may de 22,"2.040,00",botines,,,DIARIO,Días restantes,Días totales,,jue 12/may 22,"300,00",futbol
mié 11 de may de 22,"9.000,00",marimba,,,,,,,,690,1,31,,vie 13/may 22,"750,00",pan helado
vie 13 de may de 22,"450,00",pegamento,,,dom 15 de may de 22,"2.300,00",telefono,,,,,30,,sáb 14/may 22,"2.450,00",lomo birra
vie 27 de may de 22,"2.200,00",gomeria,,,lun 9 de may de 22,,osde,T,,TOTAL,21390,GASTADO,,dom 15/may 22,"2.000,00",nafta
,,,,,lun 23 de may de 22,"3.000,00",gym,,,RESTO,10,713,,lun 16/may 22,"300,00",
,,,,,lun 16 de may de 22,,luz,T,,SALDO,10,21380,,mar 17/may 22,"1.000,00",asado
,,,,,lun 9 de may de 22,"3.755,00",internet,,,,,,,mié 18/may 22,"250,00",birra
mar 3 de may de 22,"1.450,00",pollo,,,sáb 21 de may de 22,,gas,T,,SALDO,,,,jue 19/may 22,"0,00",
mar 3 de may de 22,"720,00",avena tomate queso,,,,,,,,,,,,vie 20/may 22,"700,00",nafta pan huevos
lun 9 de may de 22,"1.210,00",frutas y verduras,,,,,,,,TOTAL,"2.981,32",,,sáb 21/may 22,"3.250,00",varios
lun 9 de may de 22,"1.430,00",pollo,,,,"0,00",,,,,"-15118,3400000001",,,dom 22/may 22,"2.450,00",misa
vie 13 de may de 22,"1.570,00",super,,,,,,,,,,,,lun 23/may 22,"2.100,00",nafta
lun 16 de may de 22,"1.580,00",pollo,,,,,,,,,,,,mar 24/may 22,"550,00",pan tortas
lun 16 de may de 22,"500,00",frutas y verduras,,,,,,,,,,,,mié 25/may 22,"1.450,00",lomo birra
lun 23 de may de 22,"1.550,00",mila frutas y huevos,,,,,,,,,,,,jue 26/may 22,"1.850,00",varios
TOTAL,"68.517,07",,,,TOTAL,"62.336,70",,,,,,,,vie 27/may 22,"0,00",
,,,,,,,,,,,,,,sáb 28/may 22,"650,00",tabao varios
,,,,,,,,,,SALDO BANCO,"1811,07",,,dom 29/may 22,"0,00",
,,,,,,,,,,EFECTIVO,1171,,,lun 30/may 22,"300,00",futbol
,,,,,,,,,,TOTAL,"2982,07",,,mar 31/may 22,"130,00",varios
,,,,,,,,,DIF,DINERO-CALCULO,"0,750000000050932",,,,,
